45.49428,-122.86705
41.24255,-82.61573
31.76212,-95.63079
34.77453,-96.67834
36.91023,-121.75689
40.2737,-76.88442
27.09978,-82.45426
39.57582,-105.11221
20.88953,-156.47432
38.91817,-78.19444
34.95303,-120.43572
41.72059,-87.70172
40.72371,-73.95097
32.9156,-117.14392
36.20829,-115.98391
34.09668,-117.71978
29.65163,-82.32483
36.20829,-115.98391
32.44874,-99.73314
41.84364,-87.71255
31.76212,-95.63079
43.91452,-69.96533
34.25628,-78.04471
33.7207,-116.21677
41.50343,-74.01042
44.73941,-93.12577
40.82232,-74.15987
33.50921,-111.89903
37.71715,-122.40433
33.98154,-81.23621
33.7207,-116.21677
35.25064,-91.73625
34.09611,-118.10583
38.17492,-122.2608
45.49428,-122.86705
30.17746,-81.38758
37.52487,-77.55777
33.72255,-116.37697
40.5576,-74.28459
33.76446,-117.79394
39.57582,-105.11221
37.52487,-77.55777
45.16024,-93.08883
27.71809,-82.35176
26.91756,-82.07842
41.54566,-71.29144
33.03699,-117.29198
32.5007,-94.74049
41.84364,-87.71255
40.72816,-74.07764
